Date,Time,Open,High,Low,Close,Volume
2022.01.03,00:00,1800.0,1806.71,1797.57,1804.75,7851
2022.01.03,00:30,1804.49,1807.66,1800.69,1801.59,8118
2022.01.03,01:00,1800.64,1802.39,1793.75,1796.08,8304
2022.01.03,01:30,1795.62,1797.6,1790.12,1793.23,10197
2022.01.03,02:00,1793.16,1802.06,1788.18,1800.39,9188
2022.01.03,02:30,1800.38,1804.2,1797.72,1800.53,9146
2022.01.03,03:00,1800.63,1802.5,1796.41,1797.22,8954
2022.01.03,03:30,1797.7,1801.35,1794.09,1798.15,8232
2022.01.03,04:00,1798.85,1807.62,1795.59,1805.23,8028
2022.01.03,04:30,1806.61,1809.89,1803.24,1803.8,8928
2022.01.03,05:00,1803.76,1806.25,1798.59,1800.54,8724
2022.01.03,05:30,1801.01,1805.31,1792.29,1796.17,9088
2022.01.03,06:00,1796.16,1797.14,1790.21,1791.44,8209
2022.01.03,06:30,1792.64,1794.78,1788.58,1791.33,8934
2022.01.03,07:00,1792.11,1796.2,1788.75,1794.63,8936
2022.01.03,07:30,1794.44,1803.06,1794.07,1798.53,9241
2022.01.03,08:00,1798.36,1798.69,1790.57,1795.62,8104
2022.01.03,08:30,1795.95,1801.14,1791.81,1796.75,8950
2022.01.03,09:00,1796.36,1798.26,1785.63,1786.8,9279
2022.01.03,09:30,1786.86,1793.52,1783.53,1791.79,7794
2022.01.03,10:00,1791.81,1793.94,1786.74,1787.08,7532
2022.01.03,10:30,1786.85,1789.05,1781.13,1784.76,9573
2022.01.03,11:00,1784.03,1789.55,1780.77,1787.68,6997
2022.01.03,11:30,1788.01,1798.99,1786.89,1791.6,8758
2022.01.03,12:00,1791.44,1797.84,1790.38,1795.51,8662
2022.01.03,12:30,1795.33,1797.91,1786.29,1792.63,9224
2022.01.03,13:00,1792.73,1797.12,1786.08,1795.4,7738
2022.01.03,13:30,1795.34,1797.55,1791.47,1792.72,8049
2022.01.03,14:00,1793.21,1805.11,1792.7,1801.61,8619
2022.01.03,14:30,1801.17,1802.11,1794.43,1795.27,7338
2022.01.03,15:00,1794.19,1801.43,1792.39,1800.38,7790
2022.01.03,15:30,1800.88,1807.75,1800.03,1806.37,9135
2022.01.03,16:00,1806.52,1809.28,1800.63,1802.01,8399
2022.01.03,16:30,1800.98,1810.08,1799.72,1805.79,9672
2022.01.03,17:00,1806.5,1807.13,1800.57,1801.34,8029
2022.01.03,17:30,1801.59,1804.97,1797.36,1798.76,8489
2022.01.03,18:00,1798.91,1806.89,1794.6,1804.21,8212
2022.01.03,18:30,1803.54,1806.66,1800.05,1802.51,8787
2022.01.03,19:00,1802.13,1804.53,1797.81,1801.28,8893
2022.01.03,19:30,1801.11,1814.0,1800.39,1811.89,7902
2022.01.03,20:00,1812.24,1815.77,1809.06,1811.33,9245
2022.01.03,20:30,1811.05,1812.55,1802.96,1805.59,9159
2022.01.03,21:00,1804.86,1807.14,1800.22,1800.7,7337
