datetime,signal,confidence,reasoning,price,hour,day_of_week
2022-01-03 01:00:00,SELL,1.0,"['Price momentum: -0.10% (bearish)', 'Technical: Price < SMA5 < SMA10 (downtrend)', 'Volatility-adjusted: -0.10% < -0.05% threshold']",1800.89,1,0
2022-01-03 02:40:00,BUY,1.0,"['Price momentum: +0.16% (bullish)', 'Technical: Price > SMA5 > SMA10 (uptrend)', 'Volatility-adjusted: 0.16% > 0.05% threshold']",1799.84,2,0
2022-01-03 04:20:00,BUY,1.0,"['Price momentum: +0.22% (bullish)', 'Technical: Price > SMA5 > SMA10 (uptrend)', 'Volatility-adjusted: 0.22% > 0.05% threshold']",1802.98,4,0
2022-01-03 06:00:00,SELL,0.6666666666666666,"['Price momentum: -0.10% (bearish)', 'Technical: Price > SMA5 > SMA10 (uptrend)', 'Volatility-adjusted: -0.10% < -0.05% threshold']",1796.35,6,0
2022-01-03 07:40:00,BUY,0.6666666666666666,"['Price momentum: +0.16% (bullish)', 'Technical: Mixed signals (sideways)', 'Volatility-adjusted: 0.16% > 0.05% threshold']",1798.26,7,0
2022-01-03 09:20:00,HOLD,0.6666666666666666,"['Price momentum: -0.01% (neutral)', 'Technical: Price < SMA5 < SMA10 (downtrend)', 'Volatility-adjusted: Within ±0.05% threshold']",1789.3,9,0
2022-01-03 11:00:00,HOLD,0.6666666666666666,"['Price momentum: -0.00% (neutral)', 'Technical: Price > SMA5 > SMA10 (uptrend)', 'Volatility-adjusted: Within ±0.05% threshold']",1784.72,11,0
2022-01-03 12:40:00,SELL,0.6666666666666666,"['Price momentum: -0.31% (bearish)', 'Technical: Mixed signals (sideways)', 'Volatility-adjusted: -0.31% < -0.05% threshold']",1794.07,12,0
2022-01-03 14:20:00,HOLD,1.0,"['Price momentum: 0.02% (neutral)', 'Technical: Mixed signals (sideways)', 'Volatility-adjusted: Within ±0.05% threshold']",1799.43,14,0
2022-01-03 16:00:00,HOLD,0.6666666666666666,"['Price momentum: 0.02% (neutral)', 'Technical: Price > SMA5 > SMA10 (uptrend)', 'Volatility-adjusted: Within ±0.05% threshold']",1807.13,16,0
2022-01-03 17:40:00,HOLD,0.6666666666666666,"['Price momentum: -0.07% (neutral)', 'Technical: Mixed signals (sideways)', 'Volatility-adjusted: -0.07% < -0.05% threshold']",1801.72,17,0
2022-01-03 19:20:00,BUY,0.6666666666666666,"['Price momentum: +0.26% (bullish)', 'Technical: Mixed signals (sideways)', 'Volatility-adjusted: 0.26% > 0.05% threshold']",1801.44,19,0
2022-01-03 21:00:00,HOLD,0.6666666666666666,"['Price momentum: 0.01% (neutral)', 'Technical: Price < SMA5 < SMA10 (downtrend)', 'Volatility-adjusted: Within ±0.05% threshold']",1804.59,21,0
2022-01-03 22:40:00,SELL,0.6666666666666666,"['Price momentum: -0.27% (bearish)', 'Technical: Mixed signals (sideways)', 'Volatility-adjusted: -0.27% < -0.05% threshold']",1808.31,22,0
2022-01-04 00:20:00,SELL,0.6666666666666666,"['Price momentum: -0.11% (bearish)', 'Technical: Price > SMA5 > SMA10 (uptrend)', 'Volatility-adjusted: -0.11% < -0.05% threshold']",1819.21,0,1
2022-01-04 02:00:00,HOLD,0.6666666666666666,"['Price momentum: 0.07% (neutral)', 'Technical: Mixed signals (sideways)', 'Volatility-adjusted: 0.07% > 0.05% threshold']",1826.93,2,1
2022-01-04 03:40:00,SELL,0.6666666666666666,"['Price momentum: -0.12% (bearish)', 'Technical: Mixed signals (sideways)', 'Volatility-adjusted: -0.12% < -0.05% threshold']",1824.16,3,1
2022-01-04 05:20:00,HOLD,0.3333333333333333,"['Price momentum: 0.07% (neutral)', 'Technical: Price < SMA5 < SMA10 (downtrend)', 'Volatility-adjusted: 0.07% > 0.05% threshold']",1822.54,5,1
2022-01-04 07:00:00,HOLD,0.6666666666666666,"['Price momentum: 0.01% (neutral)', 'Technical: Price > SMA5 > SMA10 (uptrend)', 'Volatility-adjusted: Within ±0.05% threshold']",1832.61,7,1
2022-01-04 08:40:00,BUY,0.6666666666666666,"['Price momentum: +0.14% (bullish)', 'Technical: Mixed signals (sideways)', 'Volatility-adjusted: 0.14% > 0.05% threshold']",1829.16,8,1
2022-01-04 10:20:00,SELL,1.0,"['Price momentum: -0.23% (bearish)', 'Technical: Price < SMA5 < SMA10 (downtrend)', 'Volatility-adjusted: -0.23% < -0.05% threshold']",1802.63,10,1
2022-01-04 12:00:00,HOLD,1.0,"['Price momentum: 0.01% (neutral)', 'Technical: Mixed signals (sideways)', 'Volatility-adjusted: Within ±0.05% threshold']",1812.9,12,1
2022-01-04 13:40:00,HOLD,0.6666666666666666,"['Price momentum: 0.02% (neutral)', 'Technical: Price > SMA5 > SMA10 (uptrend)', 'Volatility-adjusted: Within ±0.05% threshold']",1816.05,13,1
2022-01-04 15:20:00,BUY,0.6666666666666666,"['Price momentum: +0.12% (bullish)', 'Technical: Price < SMA5 < SMA10 (downtrend)', 'Volatility-adjusted: 0.12% > 0.05% threshold']",1821.28,15,1
2022-01-04 17:00:00,HOLD,0.6666666666666666,"['Price momentum: 0.00% (neutral)', 'Technical: Price < SMA5 < SMA10 (downtrend)', 'Volatility-adjusted: Within ±0.05% threshold']",1817.65,17,1
2022-01-04 18:40:00,HOLD,0.3333333333333333,"['Price momentum: 0.06% (neutral)', 'Technical: Price < SMA5 < SMA10 (downtrend)', 'Volatility-adjusted: 0.06% > 0.05% threshold']",1804.72,18,1
2022-01-04 20:20:00,BUY,0.6666666666666666,"['Price momentum: +0.38% (bullish)', 'Technical: Price < SMA5 < SMA10 (downtrend)', 'Volatility-adjusted: 0.38% > 0.05% threshold']",1803.78,20,1
2022-01-04 22:00:00,SELL,0.6666666666666666,"['Price momentum: -0.16% (bearish)', 'Technical: Price > SMA5 > SMA10 (uptrend)', 'Volatility-adjusted: -0.16% < -0.05% threshold']",1832.94,22,1
2022-01-04 23:40:00,SELL,0.6666666666666666,"['Price momentum: -0.07% (neutral)', 'Technical: Price < SMA5 < SMA10 (downtrend)', 'Volatility-adjusted: -0.07% < -0.05% threshold']",1817.46,23,1
2022-01-05 01:20:00,BUY,1.0,"['Price momentum: +0.18% (bullish)', 'Technical: Price > SMA5 > SMA10 (uptrend)', 'Volatility-adjusted: 0.18% > 0.05% threshold']",1827.24,1,2
2022-01-05 03:00:00,HOLD,0.6666666666666666,"['Price momentum: 0.02% (neutral)', 'Technical: Price > SMA5 > SMA10 (uptrend)', 'Volatility-adjusted: Within ±0.05% threshold']",1841.56,3,2
2022-01-05 04:40:00,HOLD,0.6666666666666666,"['Price momentum: 0.03% (neutral)', 'Technical: Price > SMA5 > SMA10 (uptrend)', 'Volatility-adjusted: Within ±0.05% threshold']",1837.59,4,2
2022-01-05 06:20:00,SELL,0.6666666666666666,"['Price momentum: -0.13% (bearish)', 'Technical: Mixed signals (sideways)', 'Volatility-adjusted: -0.13% < -0.05% threshold']",1837.83,6,2
2022-01-05 08:00:00,SELL,0.6666666666666666,"['Price momentum: -0.06% (neutral)', 'Technical: Price < SMA5 < SMA10 (downtrend)', 'Volatility-adjusted: -0.06% < -0.05% threshold']",1822.83,8,2
2022-01-05 09:40:00,HOLD,0.3333333333333333,"['Price momentum: 0.08% (neutral)', 'Technical: Price < SMA5 < SMA10 (downtrend)', 'Volatility-adjusted: 0.08% > 0.05% threshold']",1810.8,9,2
2022-01-05 11:20:00,SELL,0.6666666666666666,"['Price momentum: -0.11% (bearish)', 'Technical: Mixed signals (sideways)', 'Volatility-adjusted: -0.11% < -0.05% threshold']",1811.69,11,2
2022-01-05 13:00:00,HOLD,0.3333333333333333,"['Price momentum: -0.09% (neutral)', 'Technical: Price > SMA5 > SMA10 (uptrend)', 'Volatility-adjusted: -0.09% < -0.05% threshold']",1794.26,13,2
2022-01-05 14:40:00,HOLD,0.6666666666666666,"['Price momentum: -0.04% (neutral)', 'Technical: Price < SMA5 < SMA10 (downtrend)', 'Volatility-adjusted: Within ±0.05% threshold']",1795.0,14,2
2022-01-05 16:20:00,BUY,0.6666666666666666,"['Price momentum: +0.14% (bullish)', 'Technical: Mixed signals (sideways)', 'Volatility-adjusted: 0.14% > 0.05% threshold']",1794.33,16,2
2022-01-05 18:00:00,HOLD,0.6666666666666666,"['Price momentum: -0.01% (neutral)', 'Technical: Price > SMA5 > SMA10 (uptrend)', 'Volatility-adjusted: Within ±0.05% threshold']",1789.09,18,2
2022-01-05 19:40:00,HOLD,1.0,"['Price momentum: -0.04% (neutral)', 'Technical: Mixed signals (sideways)', 'Volatility-adjusted: Within ±0.05% threshold']",1793.1,19,2
2022-01-05 21:20:00,HOLD,0.3333333333333333,"['Price momentum: 0.09% (neutral)', 'Technical: Price < SMA5 < SMA10 (downtrend)', 'Volatility-adjusted: 0.09% > 0.05% threshold']",1776.4,21,2
2022-01-05 23:00:00,HOLD,0.6666666666666666,"['Price momentum: 0.05% (neutral)', 'Technical: Price < SMA5 < SMA10 (downtrend)', 'Volatility-adjusted: Within ±0.05% threshold']",1770.65,23,2
2022-01-06 00:40:00,SELL,0.6666666666666666,"['Price momentum: -0.31% (bearish)', 'Technical: Mixed signals (sideways)', 'Volatility-adjusted: -0.31% < -0.05% threshold']",1782.52,0,3
2022-01-06 02:20:00,HOLD,1.0,"['Price momentum: 0.03% (neutral)', 'Technical: Mixed signals (sideways)', 'Volatility-adjusted: Within ±0.05% threshold']",1776.96,2,3
2022-01-06 04:00:00,HOLD,0.3333333333333333,"['Price momentum: -0.07% (neutral)', 'Technical: Price > SMA5 > SMA10 (uptrend)', 'Volatility-adjusted: -0.07% < -0.05% threshold']",1789.12,4,3
2022-01-06 05:40:00,HOLD,0.6666666666666666,"['Price momentum: -0.01% (neutral)', 'Technical: Price > SMA5 > SMA10 (uptrend)', 'Volatility-adjusted: Within ±0.05% threshold']",1788.26,5,3
