time,open,high,low,close,tick_volume,spread,real_volume
2021-03-26 01:30:00,1727.709,1728.871,1726.663,1728.501,30,200,0
2021-03-26 02:00:00,1728.506,1729.749,1725.393,1726.926,30,200,0
2021-03-26 02:30:00,1726.922,1726.987,1723.883,1723.883,30,200,0
2021-03-26 03:00:00,1723.869,1724.784,1723.16,1724.292,30,200,0
2021-03-26 03:30:00,1724.304,1725.102,1723.693,1724.863,30,200,0
2021-03-26 04:00:00,1724.862,1725.847,1723.843,1725.847,30,200,0
2021-03-26 04:30:00,1725.862,1726.373,1725.391,1726.331,30,200,0
2021-03-26 05:00:00,1726.36,1727.195,1725.789,1726.798,30,200,0
2021-03-26 05:30:00,1726.767,1729.189,1726.706,1727.972,30,200,0
2021-03-26 06:00:00,1728.003,1729.111,1726.724,1729.002,30,200,0
2021-03-26 06:30:00,1728.972,1729.606,1727.889,1728.218,30,200,0
2021-03-26 07:00:00,1728.249,1728.635,1727.019,1728.088,30,200,0
2021-03-26 07:30:00,1728.054,1728.554,1725.713,1727.453,30,200,0
2021-03-26 08:00:00,1727.421,1729.036,1725.386,1727.36,30,200,0
2021-03-26 08:30:00,1727.339,1728.604,1726.942,1727.81,30,200,0
2021-03-26 09:00:00,1727.799,1728.574,1726.738,1726.791,30,200,0
2021-03-26 09:30:00,1726.787,1731.996,1726.74,1730.124,30,200,0
2021-03-26 10:00:00,1730.117,1730.368,1727.592,1727.689,30,200,0
2021-03-26 10:30:00,1727.692,1728.06,1725.104,1725.737,30,200,0
2021-03-26 11:00:00,1725.706,1726.129,1721.566,1721.652,30,200,0
2021-03-26 11:30:00,1721.613,1725.934,1721.448,1725.122,30,200,0
2021-03-26 12:00:00,1725.089,1726.707,1723.982,1724.922,30,200,0
2021-03-26 12:30:00,1724.885,1728.839,1724.311,1724.856,30,200,0
2021-03-26 13:00:00,1724.824,1726.659,1724.232,1725.904,30,200,0
2021-03-26 13:30:00,1725.874,1728.832,1725.298,1728.719,30,200,0
2021-03-26 14:00:00,1728.75,1731.32,1728.598,1729.835,30,200,0
2021-03-26 14:30:00,1729.871,1732.352,1728.284,1731.111,30,200,0
2021-03-26 15:00:00,1731.147,1736.683,1731.117,1732.412,30,200,0
2021-03-26 15:30:00,1732.442,1734.202,1730.922,1733.93,30,200,0
2021-03-26 16:00:00,1733.962,1734.547,1732.234,1732.971,30,200,0
2021-03-26 16:30:00,1732.993,1733.626,1732.119,1732.268,30,200,0
2021-03-26 17:00:00,1732.266,1734.018,1732.204,1733.92,30,200,0
2021-03-26 17:30:00,1733.95,1734.256,1730.697,1731.823,30,200,0
2021-03-26 18:00:00,1731.838,1732.423,1730.188,1731.496,30,200,0
2021-03-26 18:30:00,1731.51,1732.114,1731.1,1731.351,30,200,0
2021-03-26 19:00:00,1731.352,1732.636,1730.745,1732.497,30,200,0
2021-03-26 19:30:00,1732.514,1732.595,1730.943,1731.767,30,200,0
2021-03-26 20:00:00,1731.735,1732.598,1731.559,1732.402,30,200,0
2021-03-26 20:30:00,1732.401,1732.863,1731.937,1732.329,29,200,0
2021-03-28 00:00:00,1731.377,1732.549,1730.611,1730.999,3499,0,0
2021-03-28 22:00:00,1731.377,1732.549,1730.611,1732.365,25,200,0
2021-03-28 22:30:00,1732.337,1732.395,1731.063,1731.138,30,200,0
2021-03-28 23:00:00,1731.141,1731.734,1730.734,1731.261,30,200,0
2021-03-28 23:30:00,1731.258,1731.843,1730.645,1730.999,30,200,0
2021-03-29 00:00:00,1731.014,1732.578,1730.463,1732.36,30,200,0
2021-03-29 00:30:00,1732.358,1732.395,1730.113,1731.172,30,200,0
2021-03-29 01:00:00,1731.189,1731.297,1726.348,1727.986,30,200,0
2021-03-29 01:30:00,1727.955,1731.886,1727.868,1731.552,30,200,0
2021-03-29 02:00:00,1731.542,1732.654,1730.352,1732.035,30,200,0
2021-03-29 02:30:00,1732.069,1732.835,1730.296,1731.852,30,200,0
2021-03-29 03:00:00,1731.833,1732.13,1729.726,1729.932,30,200,0
2021-03-29 03:30:00,1729.959,1730.914,1729.205,1729.408,30,200,0
2021-03-29 04:00:00,1729.375,1729.75,1728.804,1729.504,30,200,0
2021-03-29 04:30:00,1729.498,1729.531,1727.572,1727.839,30,200,0
2021-03-29 05:00:00,1727.837,1728.901,1726.949,1727.442,30,200,0
2021-03-29 05:30:00,1727.41,1729.171,1726.197,1728.564,30,200,0
2021-03-29 06:00:00,1728.534,1728.85,1725.856,1726.442,30,200,0
2021-03-29 06:30:00,1726.45,1727.47,1725.031,1725.267,30,200,0
2021-03-29 07:00:00,1725.243,1727.266,1724.944,1726.969,30,200,0
2021-03-29 07:30:00,1726.938,1728.124,1725.579,1726.282,30,200,0
2021-03-29 08:00:00,1726.313,1726.902,1723.61,1725.695,30,200,0
2021-03-29 08:30:00,1725.663,1726.015,1724.696,1724.82,30,200,0
2021-03-29 09:00:00,1724.787,1725.905,1724.341,1725.129,30,200,0
2021-03-29 09:30:00,1725.096,1725.35,1723.925,1724.672,30,200,0
2021-03-29 10:00:00,1724.641,1726.787,1723.858,1726.271,30,200,0
2021-03-29 10:30:00,1726.274,1728.18,1725.775,1726.989,30,200,0
2021-03-29 11:00:00,1727.019,1727.45,1725.451,1726.104,30,200,0
2021-03-29 11:30:00,1726.085,1727.364,1725.056,1726.132,30,200,0
2021-03-29 12:00:00,1726.163,1727.968,1723.588,1725.804,30,200,0
2021-03-29 12:30:00,1725.79,1726.091,1721.808,1723.845,30,200,0
2021-03-29 13:00:00,1723.811,1726.203,1721.732,1723.231,30,200,0
2021-03-29 13:30:00,1723.264,1723.844,1705.962,1711.191,30,200,0
2021-03-29 14:00:00,1711.155,1711.155,1705.736,1708.113,30,200,0
2021-03-29 14:30:00,1708.077,1712.511,1707.027,1710.902,30,200,0
2021-03-29 15:00:00,1710.937,1712.025,1708.64,1711.602,30,200,0
2021-03-29 15:30:00,1711.589,1712.257,1710.657,1711.675,30,200,0
2021-03-29 16:00:00,1711.645,1714.274,1711.449,1713.741,30,200,0
2021-03-29 16:30:00,1713.772,1715.804,1712.995,1713.18,30,200,0
2021-03-29 17:00:00,1713.212,1714.538,1712.835,1713.731,30,200,0
2021-03-29 17:30:00,1713.739,1714.013,1711.554,1711.619,30,200,0
2021-03-29 18:00:00,1711.615,1711.646,1709.888,1710.384,30,200,0
2021-03-29 18:30:00,1710.381,1711.096,1709.758,1710.552,30,200,0
2021-03-29 19:00:00,1710.59,1711.263,1710.123,1710.345,30,200,0
2021-03-29 19:30:00,1710.376,1711.68,1710.14,1711.434,30,200,0
2021-03-29 20:00:00,1711.403,1711.676,1710.783,1710.833,30,200,0
2021-03-29 20:30:00,1710.838,1712.306,1710.365,1711.928,29,200,0
2021-03-29 22:00:00,1712.51,1712.98,1712.143,1712.787,29,200,0
2021-03-29 22:30:00,1712.795,1713.072,1711.66,1711.673,30,200,0
2021-03-29 23:00:00,1711.681,1712.128,1710.978,1711.429,30,200,0
2021-03-29 23:30:00,1711.442,1712.727,1710.608,1711.932,30,200,0
